CMDLINE celery -A app:celery worker --loglevel=DEBUG --concurrency=4 -n worker1@%h
CHLD 223435 30.117188 1673151213.6533
CHLD 223436 30.117188 1673151213.6534
CHLD 223437 30.117188 1673151213.6534
MEM 37.851562 1673151213.7541
CHLD 223434 30.015625 1673151213.7616
CHLD 223435 30.117188 1673151213.7617
CHLD 223436 30.117188 1673151213.7617
CHLD 223437 30.117188 1673151213.7617
MEM 37.851562 1673151213.8625
CHLD 223434 30.015625 1673151213.8773
CHLD 223435 30.117188 1673151213.8774
CHLD 223436 30.117188 1673151213.8774
CHLD 223437 30.117188 1673151213.8775
MEM 37.851562 1673151213.9781
CHLD 223434 30.015625 1673151213.9932
CHLD 223435 30.117188 1673151213.9932
CHLD 223436 30.117188 1673151213.9933
CHLD 223437 30.117188 1673151213.9933
MEM 37.851562 1673151214.0939
CHLD 223434 30.015625 1673151214.1080
CHLD 223435 30.117188 1673151214.1081
CHLD 223436 30.117188 1673151214.1081
CHLD 223437 30.117188 1673151214.1082
MEM 37.851562 1673151214.2092
CHLD 223434 30.015625 1673151214.2247
CHLD 223435 30.117188 1673151214.2248
CHLD 223436 30.117188 1673151214.2248
CHLD 223437 30.117188 1673151214.2249
MEM 37.851562 1673151214.3259
CHLD 223434 30.015625 1673151214.3414
CHLD 223435 30.117188 1673151214.3415
CHLD 223436 30.117188 1673151214.3416
CHLD 223437 30.117188 1673151214.3416
MEM 37.851562 1673151214.4423
CHLD 223434 30.015625 1673151214.4572
CHLD 223435 30.117188 1673151214.4573
CHLD 223436 30.117188 1673151214.4573
CHLD 223437 30.117188 1673151214.4574
MEM 37.851562 1673151214.5580
CHLD 223434 30.015625 1673151214.5734
CHLD 223435 30.117188 1673151214.5734
CHLD 223436 30.117188 1673151214.5735
CHLD 223437 30.117188 1673151214.5735
MEM 37.851562 1673151214.6742
CHLD 223434 30.015625 1673151214.6881
CHLD 223435 30.117188 1673151214.6882
CHLD 223436 30.117188 1673151214.6883
CHLD 223437 30.117188 1673151214.6883
MEM 37.851562 1673151214.7889
CHLD 223434 30.015625 1673151214.8030
CHLD 223435 30.117188 1673151214.8030
CHLD 223436 30.117188 1673151214.8031
CHLD 223437 30.117188 1673151214.8031
MEM 37.851562 1673151214.9037
CHLD 223434 30.015625 1673151214.9163
CHLD 223435 30.117188 1673151214.9164
CHLD 223436 30.117188 1673151214.9164
CHLD 223437 30.117188 1673151214.9165
MEM 37.851562 1673151215.0170
CHLD 223434 30.015625 1673151215.0313
CHLD 223435 30.117188 1673151215.0314
CHLD 223436 30.117188 1673151215.0314
CHLD 223437 30.117188 1673151215.0315
MEM 37.851562 1673151215.1325
CHLD 223434 30.015625 1673151215.1475
CHLD 223435 30.117188 1673151215.1476
CHLD 223436 30.117188 1673151215.1477
CHLD 223437 30.117188 1673151215.1477
MEM 37.851562 1673151215.2483
CHLD 223434 30.015625 1673151215.2629
CHLD 223435 30.117188 1673151215.2629
CHLD 223436 30.117188 1673151215.2630
CHLD 223437 30.117188 1673151215.2630
MEM 37.851562 1673151215.3637
CHLD 223434 30.015625 1673151215.3781
CHLD 223435 30.117188 1673151215.3781
CHLD 223436 30.117188 1673151215.3782
CHLD 223437 30.117188 1673151215.3782
MEM 37.851562 1673151215.4789
CHLD 223434 30.015625 1673151215.4926
CHLD 223435 30.117188 1673151215.4926
CHLD 223436 30.117188 1673151215.4926
CHLD 223437 30.117188 1673151215.4927
MEM 37.851562 1673151215.5933
CHLD 223434 30.015625 1673151215.6074
CHLD 223435 30.117188 1673151215.6075
CHLD 223436 30.117188 1673151215.6075
CHLD 223437 30.117188 1673151215.6076
MEM 37.851562 1673151215.7083
CHLD 223434 30.015625 1673151215.7239
CHLD 223435 30.117188 1673151215.7240
CHLD 223436 30.117188 1673151215.7240
CHLD 223437 30.117188 1673151215.7241
MEM 37.851562 1673151215.8250
CHLD 223434 30.015625 1673151215.8405
CHLD 223435 30.117188 1673151215.8406
CHLD 223436 30.117188 1673151215.8407
CHLD 223437 30.117188 1673151215.8407
MEM 37.851562 1673151215.9416
CHLD 223434 30.015625 1673151215.9565
CHLD 223435 30.117188 1673151215.9566
CHLD 223436 30.117188 1673151215.9567
CHLD 223437 30.117188 1673151215.9567
MEM 37.851562 1673151216.0576
CHLD 223434 30.015625 1673151216.0733
CHLD 223435 30.117188 1673151216.0733
CHLD 223436 30.117188 1673151216.0734
CHLD 223437 30.117188 1673151216.0734
MEM 37.851562 1673151216.1741
CHLD 223434 30.015625 1673151216.1894
CHLD 223435 30.117188 1673151216.1895
CHLD 223436 30.117188 1673151216.1895
CHLD 223437 30.117188 1673151216.1896
MEM 37.851562 1673151216.2901
CHLD 223434 30.015625 1673151216.3036
CHLD 223435 30.117188 1673151216.3037
